customer_id,customer_name,gender,age,city,state,customer_segment,signup_date
CUST0001,Customer_0001,Male,39,Chennai,Tamil Nadu,Corporate,2024-03-04
CUST0002,Customer_0002,Male,53,Mumbai,Maharashtra,Consumer,2025-03-22
CUST0003,Customer_0003,Female,21,Jaipur,Rajasthan,Consumer,2024-06-24
CUST0004,Customer_0004,Male,25,Delhi,Delhi,Consumer,2024-08-22
CUST0005,Customer_0005,Female,48,Mumbai,Maharashtra,Small Business,2023-08-27
CUST0006,Customer_0006,Male,23,Kolkata,West Bengal,Corporate,2024-09-22
CUST0007,Customer_0007,Female,44,Jaipur,Rajasthan,Consumer,2024-05-24
CUST0008,Customer_0008,Female,28,Chennai,Tamil Nadu,Consumer,2025-01-28
CUST0009,Customer_0009,Male,46,Ahmedabad,Gujarat,Corporate,2023-06-14
CUST0010,Customer_0010,Female,51,Chennai,Tamil Nadu,Consumer,2023-07-11
CUST0011,Customer_0011,Female,34,Bengaluru,Karnataka,Small Business,2025-03-09
CUST0012,Customer_0012,Female,28,Kochi,Kerala,Small Business,2025-01-17
CUST0013,Customer_0013,Male,33,Ahmedabad,Gujarat,Corporate,2024-07-26
CUST0014,Customer_0014,Male,39,Chennai,Tamil Nadu,Corporate,2024-07-02
CUST0015,Customer_0015,Male,41,Ahmedabad,Gujarat,Corporate,2024-05-28
CUST0016,Customer_0016,Female,26,Kolkata,West Bengal,Consumer,2023-09-30
CUST0017,Customer_0017,Male,25,Ahmedabad,Gujarat,Small Business,2023-01-03
CUST0018,Customer_0018,Female,57,Kochi,Kerala,Small Business,2025-02-05
CUST0019,Customer_0019,Female,32,Delhi,Delhi,Small Business,2024-07-23
CUST0020,Customer_0020,Male,42,Chennai,Tamil Nadu,Corporate,2024-10-03
CUST0021,Customer_0021,Female,27,Kochi,Kerala,Consumer,2023-11-10
CUST0022,Customer_0022,Female,48,Bengaluru,Karnataka,Corporate,2025-04-13
CUST0023,Customer_0023,Female,54,Chennai,Tamil Nadu,Small Business,2024-11-30
CUST0024,Customer_0024,Female,58,Mumbai,Maharashtra,Consumer,2024-02-21
CUST0025,Customer_0025,Male,36,Delhi,Delhi,Consumer,2024-05-17
CUST0026,Customer_0026,Female,49,Chennai,Tamil Nadu,Corporate,2024-07-29
CUST0027,Customer_0027,Male,24,Ahmedabad,Gujarat,Corporate,2023-02-28
CUST0028,Customer_0028,Male,36,Pune,Maharashtra,Consumer,2023-02-05
CUST0029,Customer_0029,Male,30,Kolkata,West Bengal,Consumer,2023-03-13
CUST0030,Customer_0030,Male,29,Ahmedabad,Gujarat,Small Business,2023-02-20
CUST0031,Customer_0031,Male,22,Jaipur,Rajasthan,Consumer,2025-01-16
CUST0032,Customer_0032,Female,44,Delhi,Delhi,Small Business,2025-03-25
CUST0033,Customer_0033,Male,40,Kolkata,West Bengal,Consumer,2024-05-11
CUST0034,Customer_0034,Male,29,Jaipur,Rajasthan,Small Business,2024-08-25
CUST0035,Customer_0035,Female,22,Hyderabad,Telangana,Corporate,2024-01-27
CUST0036,Customer_0036,Female,58,Kochi,Kerala,Corporate,2023-11-30
CUST0037,Customer_0037,Male,29,Pune,Maharashtra,Consumer,2024-11-30
CUST0038,Customer_0038,Male,27,Chennai,Tamil Nadu,Consumer,2023-04-08
CUST0039,Customer_0039,Male,30,Hyderabad,Telangana,Consumer,2024-10-19
CUST0040,Customer_0040,Male,29,Bengaluru,Karnataka,Corporate,2024-11-02
CUST0041,Customer_0041,Male,52,Jaipur,Rajasthan,Consumer,2023-11-29
