order_id,customer_id,order_date,sales_channel,order_status
ORD00001,CUST0289,2024-10-05,Online,Completed
ORD00002,CUST0198,2024-03-24,Distributor,Completed
ORD00003,CUST0262,2024-07-31,Distributor,Cancelled
ORD00004,CUST0473,2024-02-13,Distributor,Completed
ORD00005,CUST0237,2025-01-08,Online,Cancelled
ORD00006,CUST0446,2025-05-22,Online,Completed
ORD00007,CUST0330,2025-04-12,Online,Completed
ORD00008,CUST0213,2024-07-11,Distributor,Completed
ORD00009,CUST0117,2024-11-10,Online,Completed
ORD00010,CUST0103,2024-04-03,Online,Completed
ORD00011,CUST0183,2024-01-12,Online,Completed
ORD00012,CUST0237,2025-06-16,Online,Completed
ORD00013,CUST0276,2025-04-12,Online,Completed
ORD00014,CUST0149,2024-06-02,Store,Completed
ORD00015,CUST0391,2024-04-03,Store,Completed
ORD00016,CUST0289,2024-11-30,Store,Completed
ORD00017,CUST0395,2025-04-14,Store,Cancelled
ORD00018,CUST0073,2025-09-29,Store,Completed
ORD00019,CUST0382,2025-08-29,Online,Completed
ORD00020,CUST0222,2025-08-07,Distributor,Completed
ORD00021,CUST0444,2025-08-26,Distributor,Completed
ORD00022,CUST0285,2025-09-19,Online,Completed
ORD00023,CUST0034,2024-11-21,Distributor,Completed
ORD00024,CUST0477,2025-07-23,Online,Completed
ORD00025,CUST0456,2024-11-12,Distributor,Completed
ORD00026,CUST0058,2025-11-08,Distributor,Completed
ORD00027,CUST0073,2024-08-04,Distributor,Completed
ORD00028,CUST0070,2024-03-16,Distributor,Cancelled
ORD00029,CUST0417,2025-03-17,Distributor,Cancelled
ORD00030,CUST0179,2024-12-17,Online,Completed
ORD00031,CUST0387,2024-01-01,Store,Completed
ORD00032,CUST0215,2025-03-12,Online,Completed
ORD00033,CUST0254,2025-11-01,Online,Completed
ORD00034,CUST0260,2025-11-17,Online,Completed
ORD00035,CUST0431,2025-04-12,Distributor,Cancelled
ORD00036,CUST0497,2024-12-26,Online,Cancelled
ORD00037,CUST0440,2024-09-17,Online,Completed
