transaction_id,order_id,product_id,quantity,discount,amount
TXN000001,ORD00001,P009,1,0.1,1080.0
TXN000002,ORD00001,P003,4,0.02,13720.0
TXN000003,ORD00002,P004,3,0.1,48600.0
TXN000004,ORD00002,P002,1,0.1,25200.0
TXN000005,ORD00003,P002,3,0.02,82320.0
TXN000006,ORD00004,P009,2,0.1,2160.0
TXN000007,ORD00004,P008,2,0.02,4312.0
TXN000008,ORD00005,P009,1,0.0,1200.0
TXN000009,ORD00006,P004,1,0.02,17640.0
TXN000010,ORD00007,P002,2,0.05,53200.0
TXN000011,ORD00007,P006,1,0.08,13800.0
TXN000012,ORD00008,P001,2,0.08,119600.0
TXN000013,ORD00009,P007,1,0.02,1764.0
TXN000014,ORD00010,P008,2,0.1,3960.0
TXN000015,ORD00010,P010,2,0.15,23800.0
TXN000016,ORD00011,P011,1,0.0,22000.0
TXN000017,ORD00011,P010,2,0.0,28000.0
TXN000018,ORD00012,P003,1,0.15,2975.0
TXN000019,ORD00013,P005,1,0.05,11400.0
TXN000020,ORD00013,P007,1,0.05,1710.0
TXN000021,ORD00013,P012,1,0.1,4050.0
TXN000022,ORD00014,P008,1,0.02,2156.0
TXN000023,ORD00015,P008,3,0.05,6270.0
TXN000024,ORD00016,P002,1,0.15,23800.0
TXN000025,ORD00017,P008,4,0.08,8096.0
TXN000026,ORD00018,P011,2,0.15,37400.0
TXN000027,ORD00019,P010,2,0.1,25200.0
TXN000028,ORD00020,P011,1,0.0,22000.0
TXN000029,ORD00020,P008,1,0.15,1870.0
TXN000030,ORD00021,P006,1,0.08,13800.0
TXN000031,ORD00021,P004,2,0.1,32400.0
TXN000032,ORD00022,P008,2,0.05,4180.0
TXN000033,ORD00022,P003,1,0.0,3500.0
TXN000034,ORD00023,P002,3,0.1,75600.0
TXN000035,ORD00024,P011,1,0.0,22000.0
TXN000036,ORD00025,P012,1,0.05,4275.0
TXN000037,ORD00026,P012,1,0.02,4410.0
TXN000038,ORD00026,P005,1,0.0,12000.0
TXN000039,ORD00027,P004,2,0.02,35280.0
TXN000040,ORD00028,P002,1,0.02,27440.0
TXN000041,ORD00028,P003,1,0.05,3325.0
TXN000042,ORD00028,P008,1,0.05,2090.0
TXN000043,ORD00029,P009,2,0.0,2400.0
TXN000044,ORD00030,P012,3,0.0,13500.0
TXN000045,ORD00030,P009,5,0.05,5700.0
TXN000046,ORD00031,P010,1,0.08,12880.0
TXN000047,ORD00032,P002,2,0.1,50400.0
TXN000048,ORD00033,P004,4,0.15,61200.0
TXN000049,ORD00034,P010,1,0.02,13720.0
TXN000050,ORD00035,P007,1,0.1,1620.0
TXN000051,ORD00036,P006,2,0.02,29400.0
TXN000052,ORD00036,P010,1,0.15,11900.0
TXN000053,ORD00037,P003,1,0.02,3430.0
TXN000054,ORD00038,P007,1,0.1,1620.0
TXN000055,ORD00039,P009,2,0.15,2040.0
TXN000056,ORD00039,P006,1,0.0,15000.0
TXN000057,ORD00040,P003,2,0.0,7000.0
TXN000058,ORD00041,P009,2,0.1,2160.0
TXN000059,ORD00041,P012,2,0.15,7650.0
TXN000060,ORD00042,P004,1,0.15,15300.0
TXN000061,ORD00042,P008,2,0.0,4400.0
TXN000062,ORD00043,P012,2,0.08,8280.0
TXN000063,ORD00044,P009,1,0.02,1176.0
TXN000064,ORD00045,P009,1,0.15,1020.0
TXN000065,ORD00045,P006,2,0.1,27000.0
TXN000066,ORD00046,P009,1,0.15,1020.0
TXN000067,ORD00046,P001,4,0.1,234000.0
TXN000068,ORD00047,P003,2,0.1,6300.0
TXN000069,ORD00048,P004,1,0.05,17100.0
TXN000070,ORD00049,P001,2,0.02,127400.0
TXN000071,ORD00050,P008,1,0.08,2024.0
TXN000072,ORD00050,P001,1,0.1,58500.0
TXN000073,ORD00051,P010,5,0.08,64400.0
TXN000074,ORD00051,P011,1,0.1,19800.0
TXN000075,ORD00052,P010,2,0.08,25760.0
TXN000076,ORD00052,P007,2,0.08,3312.0
TXN000077,ORD00052,P011,3,0.08,60720.0
TXN000078,ORD00053,P003,2,0.15,5950.0
TXN000079,ORD00053,P007,1,0.08,1656.0
TXN000080,ORD00054,P008,1,0.15,1870.0
TXN000081,ORD00055,P005,3,0.1,32400.0
TXN000082,ORD00056,P001,1,0.1,58500.0
TXN000083,ORD00057,P002,1,0.08,25760.0
TXN000084,ORD00058,P010,2,0.15,23800.0
TXN000085,ORD00059,P002,1,0.08,25760.0
TXN000086,ORD00059,P001,1,0.05,61750.0
TXN000087,ORD00060,P005,1,0.1,10800.0
TXN000088,ORD00060,P002,1,0.08,25760.0
TXN000089,ORD00061,P011,1,0.02,21560.0
TXN000090,ORD00062,P008,3,0.1,5940.0
TXN000091,ORD00063,P012,1,0.1,4050.0
TXN000092,ORD00064,P006,3,0.05,42750.0
TXN000093,ORD00065,P004,1,0.05,17100.0
TXN000094,ORD00066,P008,2,0.08,4048.0
TXN000095,ORD00066,P009,1,0.0,1200.0
TXN000096,ORD00067,P007,2,0.1,3240.0
TXN000097,ORD00067,P010,2,0.08,25760.0
TXN000098,ORD00068,P010,1,0.05,13300.0
TXN000099,ORD00069,P002,2,0.0,56000.0
TXN000100,ORD00069,P001,1,0.1,58500.0
TXN000101,ORD00070,P009,1,0.1,1080.0
TXN000102,ORD00071,P011,1,0.0,22000.0
TXN000103,ORD00072,P008,1,0.1,1980.0
TXN000104,ORD00072,P006,1,0.1,13500.0
TXN000105,ORD00073,P008,2,0.08,4048.0
TXN000106,ORD00074,P004,3,0.0,54000.0
TXN000107,ORD00074,P003,2,0.0,7000.0
TXN000108,ORD00075,P004,4,0.15,61200.0
TXN000109,ORD00076,P012,1,0.0,4500.0
TXN000110,ORD00077,P006,1,0.02,14700.0
TXN000111,ORD00077,P011,1,0.08,20240.0
TXN000112,ORD00078,P007,1,0.05,1710.0
TXN000113,ORD00079,P007,3,0.1,4860.0
TXN000114,ORD00080,P001,1,0.05,61750.0
TXN000115,ORD00080,P012,2,0.15,7650.0
TXN000116,ORD00081,P005,1,0.15,10200.0
TXN000117,ORD00082,P010,3,0.0,42000.0
TXN000118,ORD00083,P011,3,0.05,62700.0
TXN000119,ORD00083,P009,4,0.15,4080.0
TXN000120,ORD00084,P007,1,0.02,1764.0
TXN000121,ORD00085,P011,1,0.1,19800.0
TXN000122,ORD00085,P008,2,0.08,4048.0
TXN000123,ORD00086,P011,2,0.05,41800.0
TXN000124,ORD00087,P003,3,0.0,10500.0
TXN000125,ORD00088,P001,2,0.02,127400.0
TXN000126,ORD00089,P008,1,0.1,1980.0
TXN000127,ORD00090,P010,2,0.08,25760.0
TXN000128,ORD00091,P004,5,0.02,88200.0
TXN000129,ORD00091,P007,1,0.0,1800.0
TXN000130,ORD00091,P005,2,0.05,22800.0
TXN000131,ORD00092,P010,2,0.08,25760.0
TXN000132,ORD00093,P002,1,0.0,28000.0
TXN000133,ORD00094,P007,3,0.02,5292.0
TXN000134,ORD00094,P001,2,0.02,127400.0
TXN000135,ORD00095,P005,1,0.08,11040.0
TXN000136,ORD00096,P001,2,0.0,130000.0
TXN000137,ORD00097,P011,3,0.15,56100.0
TXN000138,ORD00098,P006,1,0.08,13800.0
TXN000139,ORD00099,P007,5,0.0,9000.0
TXN000140,ORD00099,P011,2,0.08,40480.0
TXN000141,ORD00100,P011,3,0.15,56100.0
TXN000142,ORD00100,P004,3,0.05,51300.0
TXN000143,ORD00100,P010,2,0.0,28000.0
TXN000144,ORD00101,P009,2,0.0,2400.0
TXN000145,ORD00102,P004,1,0.0,18000.0
TXN000146,ORD00103,P006,2,0.1,27000.0
TXN000147,ORD00104,P006,1,0.15,12750.0
TXN000148,ORD00105,P008,1,0.02,2156.0
TXN000149,ORD00105,P012,2,0.08,8280.0
TXN000150,ORD00106,P008,2,0.15,3740.0
TXN000151,ORD00106,P011,2,0.02,43120.0
TXN000152,ORD00106,P001,3,0.08,179400.0
TXN000153,ORD00107,P005,2,0.1,21600.0
TXN000154,ORD00107,P010,2,0.05,26600.0
TXN000155,ORD00108,P011,2,0.1,39600.0
TXN000156,ORD00108,P010,2,0.15,23800.0
TXN000157,ORD00109,P004,1,0.0,18000.0
TXN000158,ORD00110,P009,2,0.05,2280.0
TXN000159,ORD00111,P008,1,0.05,2090.0
TXN000160,ORD00111,P009,1,0.05,1140.0
TXN000161,ORD00112,P004,2,0.05,34200.0
TXN000162,ORD00113,P007,1,0.08,1656.0
TXN000163,ORD00114,P005,1,0.08,11040.0
TXN000164,ORD00115,P002,3,0.05,79800.0
TXN000165,ORD00115,P010,1,0.08,12880.0
TXN000166,ORD00116,P002,1,0.02,27440.0
TXN000167,ORD00117,P009,1,0.1,1080.0
TXN000168,ORD00117,P011,1,0.08,20240.0
TXN000169,ORD00118,P012,3,0.02,13230.0
TXN000170,ORD00119,P007,1,0.1,1620.0
TXN000171,ORD00120,P009,3,0.0,3600.0
TXN000172,ORD00120,P011,1,0.02,21560.0
TXN000173,ORD00121,P003,1,0.15,2975.0
TXN000174,ORD00121,P005,3,0.0,36000.0
TXN000175,ORD00122,P002,2,0.1,50400.0
TXN000176,ORD00123,P003,1,0.1,3150.0
TXN000177,ORD00124,P007,1,0.1,1620.0
TXN000178,ORD00125,P007,1,0.05,1710.0
TXN000179,ORD00125,P002,2,0.08,51520.0
TXN000180,ORD00126,P008,4,0.08,8096.0
TXN000181,ORD00127,P011,1,0.05,20900.0
TXN000182,ORD00128,P010,1,0.1,12600.0
TXN000183,ORD00129,P011,2,0.15,37400.0
TXN000184,ORD00130,P001,4,0.0,260000.0
TXN000185,ORD00130,P009,1,0.05,1140.0
TXN000186,ORD00131,P010,3,0.02,41160.0
TXN000187,ORD00131,P006,2,0.1,27000.0
TXN000188,ORD00132,P002,1,0.05,26600.0
TXN000189,ORD00133,P004,1,0.08,16560.0
TXN000190,ORD00134,P006,3,0.05,42750.0
TXN000191,ORD00134,P008,4,0.02,8624.0
TXN000192,ORD00135,P012,1,0.05,4275.0
TXN000193,ORD00136,P008,1,0.05,2090.0
TXN000194,ORD00136,P007,2,0.05,3420.0
TXN000195,ORD00136,P010,1,0.02,13720.0
TXN000196,ORD00137,P005,3,0.1,32400.0
TXN000197,ORD00138,P012,4,0.0,18000.0
TXN000198,ORD00139,P011,1,0.1,19800.0
TXN000199,ORD00140,P001,1,0.0,65000.0
TXN000200,ORD00140,P007,2,0.15,3060.0
TXN000201,ORD00141,P002,1,0.15,23800.0
TXN000202,ORD00142,P001,3,0.02,191100.0
TXN000203,ORD00143,P002,3,0.05,79800.0
TXN000204,ORD00144,P010,1,0.15,11900.0
TXN000205,ORD00144,P005,4,0.0,48000.0
TXN000206,ORD00144,P001,2,0.02,127400.0
TXN000207,ORD00145,P011,1,0.05,20900.0
TXN000208,ORD00145,P010,1,0.02,13720.0
TXN000209,ORD00146,P012,1,0.02,4410.0
TXN000210,ORD00146,P004,3,0.02,52920.0
TXN000211,ORD00147,P012,4,0.02,17640.0
TXN000212,ORD00148,P005,1,0.0,12000.0
TXN000213,ORD00149,P011,1,0.0,22000.0
TXN000214,ORD00150,P001,1,0.0,65000.0
TXN000215,ORD00151,P003,5,0.05,16625.0
TXN000216,ORD00151,P007,2,0.0,3600.0
TXN000217,ORD00151,P001,1,0.0,65000.0
TXN000218,ORD00152,P010,1,0.0,14000.0
TXN000219,ORD00152,P002,3,0.1,75600.0
TXN000220,ORD00152,P009,1,0.1,1080.0
TXN000221,ORD00153,P006,2,0.15,25500.0
TXN000222,ORD00154,P006,3,0.1,40500.0
TXN000223,ORD00155,P009,1,0.1,1080.0
TXN000224,ORD00156,P006,2,0.02,29400.0
TXN000225,ORD00157,P010,2,0.08,25760.0
TXN000226,ORD00158,P002,1,0.02,27440.0
TXN000227,ORD00159,P010,5,0.02,68600.0
TXN000228,ORD00160,P012,1,0.02,4410.0
TXN000229,ORD00160,P008,3,0.1,5940.0
TXN000230,ORD00161,P011,1,0.0,22000.0
TXN000231,ORD00161,P010,1,0.02,13720.0
